Activity,ax,ay,az,Time
pointing upwards,0.17,-9.98,-0.49,2021-04-03 18:21:05
pointing upwards,0.22,-9.92,-0.46,2021-04-03 18:21:06
pointing upwards,0.17,-9.94,-0.47,2021-04-03 18:21:06
pointing upwards,0.17,-9.94,-0.41,2021-04-03 18:21:06
pointing upwards,0.16,-9.94,-0.58,2021-04-03 18:21:06
pointing upwards,0.2,-9.92,-0.44,2021-04-03 18:21:06
pointing upwards,0.24,-9.93,-0.5,2021-04-03 18:21:07
pointing upwards,0.15,-9.91,-0.46,2021-04-03 18:21:07
pointing upwards,0.19,-9.93,-0.5,2021-04-03 18:21:07
pointing upwards,0.17,-9.94,-0.46,2021-04-03 18:21:07
pointing upwards,0.18,-9.95,-0.49,2021-04-03 18:21:08
pointing upwards,0.19,-9.91,-0.43,2021-04-03 18:21:08
pointing upwards,0.15,-9.94,-0.44,2021-04-03 18:21:08
pointing upwards,0.21,-9.93,-0.45,2021-04-03 18:21:08
pointing upwards,0.15,-9.89,-0.55,2021-04-03 18:21:09
pointing upwards,0.18,-9.93,-0.52,2021-04-03 18:21:09
pointing upwards,0.1,-9.94,-0.41,2021-04-03 18:21:09
pointing upwards,-0.14,-9.93,-0.48,2021-04-03 18:21:09
pointing upwards,-0.13,-9.94,-0.53,2021-04-03 18:21:09
pointing upwards,-0.14,-9.98,-0.46,2021-04-03 18:21:09
pointing upwards,-0.16,-9.91,-0.46,2021-04-03 18:21:10
pointing upwards,-0.14,-9.96,-0.43,2021-04-03 18:21:10
pointing upwards,-0.17,-9.91,-0.49,2021-04-03 18:21:10
pointing upwards,-0.15,-9.9,-0.49,2021-04-03 18:21:10
pointing upwards,-0.17,-9.91,-0.5,2021-04-03 18:21:10
pointing upwards,-0.15,-9.9,-0.49,2021-04-03 18:21:11
pointing upwards,-0.12,-9.94,-0.48,2021-04-03 18:21:11
pointing upwards,-0.15,-9.94,-0.51,2021-04-03 18:21:11
pointing upwards,-0.2,-9.93,-0.52,2021-04-03 18:21:11
pointing upwards,-0.16,-9.9,-0.5,2021-04-03 18:21:11
pointing upwards,-0.2,-9.93,-0.44,2021-04-03 18:21:12
pointing upwards,-0.14,-9.89,-0.46,2021-04-03 18:21:12
pointing upwards,-0.14,-9.94,-0.42,2021-04-03 18:21:12
pointing upwards,-0.24,-9.98,-0.45,2021-04-03 18:21:12
pointing upwards,-0.17,-9.96,-0.47,2021-04-03 18:21:13
pointing upwards,-0.17,-9.88,-0.5,2021-04-03 18:21:13
pointing upwards,-0.17,-9.91,-0.48,2021-04-03 18:21:13
pointing upwards,-0.19,-9.89,-0.43,2021-04-03 18:21:13
pointing upwards,-0.21,-9.91,-0.42,2021-04-03 18:21:13
pointing upwards,-0.18,-9.92,-0.53,2021-04-03 18:21:13
pointing upwards,-0.22,-9.9,-0.49,2021-04-03 18:21:14
pointing upwards,-0.19,-9.95,-0.56,2021-04-03 18:21:14
pointing upwards,-0.17,-9.92,-0.51,2021-04-03 18:21:14
pointing upwards,-0.22,-9.88,-0.54,2021-04-03 18:21:14
pointing upwards,-0.19,-9.91,-0.47,2021-04-03 18:21:14
pointing upwards,-0.19,-9.93,-0.46,2021-04-03 18:21:15
pointing upwards,-0.21,-9.88,-0.52,2021-04-03 18:21:15
pointing upwards,-0.21,-9.92,-0.52,2021-04-03 18:21:15
pointing upwards,-0.17,-9.86,-0.51,2021-04-03 18:21:15
pointing upwards,-0.18,-9.94,-0.5,2021-04-03 18:21:15
pointing upwards,-0.18,-9.87,-0.52,2021-04-03 18:21:16
pointing upwards,-0.19,-9.92,-0.49,2021-04-03 18:21:16
pointing upwards,-0.18,-9.94,-0.5,2021-04-03 18:21:16
pointing upwards,-0.14,-9.91,-0.48,2021-04-03 18:21:16
pointing upwards,-0.21,-9.96,-0.55,2021-04-03 18:21:16
pointing upwards,-0.24,-9.92,-0.46,2021-04-03 18:21:17
pointing upwards,-0.16,-9.93,-0.5,2021-04-03 18:21:17
pointing upwards,-0.17,-9.95,-0.48,2021-04-03 18:21:17
pointing upwards,-0.2,-9.95,-0.42,2021-04-03 18:21:17
pointing upwards,-0.29,-9.99,-0.57,2021-04-03 18:21:17
pointing upwards,-0.16,-9.86,-0.44,2021-04-03 18:21:18
pointing upwards,-0.08,-10.08,-0.54,2021-04-03 18:21:18
pointing upwards,-0.07,-9.96,-0.54,2021-04-03 18:21:18
pointing upwards,-0.07,-9.95,-0.45,2021-04-03 18:21:18
pointing upwards,-0.06,-9.89,-0.46,2021-04-03 18:21:19
pointing upwards,-0.11,-9.91,-0.54,2021-04-03 18:21:19
pointing upwards,-0.09,-9.93,-0.49,2021-04-03 18:21:19
pointing upwards,-0.07,-9.92,-0.5,2021-04-03 18:21:19
pointing upwards,-0.06,-9.89,-0.5,2021-04-03 18:21:19
pointing upwards,-0.09,-9.94,-0.42,2021-04-03 18:21:20
pointing upwards,-0.08,-9.9,-0.42,2021-04-03 18:21:20
pointing upwards,-0.09,-9.93,-0.54,2021-04-03 18:21:20
pointing upwards,-0.09,-9.95,-0.54,2021-04-03 18:21:20
pointing upwards,-0.09,-9.92,-0.47,2021-04-03 18:21:20
pointing upwards,-0.08,-9.89,-0.55,2021-04-03 18:21:21
pointing upwards,-0.08,-9.93,-0.53,2021-04-03 18:21:21
pointing upwards,-0.17,-9.91,-0.45,2021-04-03 18:21:21
pointing upwards,-0.14,-9.89,-0.58,2021-04-03 18:21:21
pointing upwards,-0.12,-9.9,-0.52,2021-04-03 18:21:21
pointing upwards,-0.13,-9.91,-0.48,2021-04-03 18:21:22
